itemDescription,item,Gemeindenummer_in_der_Schweiz,itemLabel
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67120,0116,Grüningen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67137,0294,Elgg
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67145,0297,Bauma
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67211,0231,Zell ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67213,0035,Marthalen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67220,0113,Dürnten
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67223,0071,Wil ZH
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67272,0120,Wald
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67302,0044,Waltalingen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67310,0119,Seegräben
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67346,0182,Wildberg
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67354,0157,Oetwil am See
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67513,0011,Ottenbach ZH
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67525,0115,Gossau ZH
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67528,0140,Schönenberg
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67534,0038,Rheinau ZH
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67539,0083,Buchs ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67882,0070,Wasterkingen
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67884,0098,Schleinikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67887,0101,Steinmaur
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67894,0097,Rümlang
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67898,0064,Nürensdorf
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67902,0036,Oberstammheim
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67907,0100,Stadel bei Niederglatt
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67909,0068,Rorbas
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67912,0063,Lufingen
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67920,0089,Niederglatt ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67922,0043,Volken
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67933,0040,Trüllikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67937,0042,Unterstammheim
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67949,0025,Dachsen
Gemeinde im Kanton Zürich Schweiz,http://www.wikidata.org/entity/Q67951,0086,Dielsdorf ZH
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q67957,0178,Russikon
Gemeinde in der Schweiz,http://www.wikidata.org/entity/Q68165,0062,Kloten
